,0,1
1,animalwelfare,697
2,animals,326
3,animal,190
4,humanity,128
5,lovegodscreation,125
7,volunteers,107
8,amp,100
9,saint,98
10,saintdrmsg,97
11,food,96
12,care,96
13,welfare,94
14,ram,94
15,rahim,94
16,gurmeet,93
17,dogs,92
18,derasachasauda,86
19,singh,80
20,insan,72
21,gurmeetramrahim,65
22,help,63
23,stray,63
24,work,63
25,dr,59
26,dog,58
27,sacha,58
28,animalrights,57
29,sauda,57
30,animalcruelty,54
31,babaramrahim,51
32,people,50
33,saintdrgurmeetramrahimsinghji,47
34,medical,46
35,shelter,45
36,cats,41
37,wildlife,39
38,pets,39
39,guidance,37
40,roti,37
41,kind,34
42,life,34
43,rescue,33
44,animallovers,32
45,keep,31
46,human,31
47,get,30
48,day,29
49,please,28
50,petition,28
51,love,28
52,new,27
53,great,27
54,time,27
55,ramrahim,27
56,support,26
57,started,26
58,bread,26
59,latest,25
60,world,25
61,animalabuse,25
62,volunteer,25
63,thanks,25
64,charity,24
65,meal,24
66,animalrescue,23
67,many,23
68,feed,23
69,today,23
