장소,위도,경도
코엑스,37.51148311,127.0603371
삽교호,36.870578,126.840735
예술의전당,37.478523,127.011663
킨텍스,37.671684,126.7456
전주한옥마을,35.814928,127.152167
월미도,37.4759,126.5959
을왕리해수욕장,37.4497,126.3738
대천해수욕장,36.3073,126.5157
속초해변,38.1906,128.6036
궁평항,37.1167,126.6761
속초중앙시장,38.2041,128.5902
가락시장,37.4936,127.1096
노량진수산시장,37.5155,126.9406
동문시장,33.5129,126.5262
올레시장,33.2501,126.5636
여의도한강공원,37.5291,126.9322
일산호수공원,37.6569,126.7659
서울숲,37.5446,127.0372
광교호수공원,37.2839,127.0655
송도센트럴파크,37.3929,126.639
에버랜드,37.2879,127.2179
어린이대공원,37.5513,127.0813
롯데월드,37.5115,127.0967
서울랜드,37.4342,127.0202
서울대공원,37.4277,127.0165
